Risk_Level,patient_count,avg_probability,actual_extended_stay_rate,median_los,avg_medications,avg_diagnoses
Low Risk,17708,0.15816052806705258,0.17991868082222723,2.0,10.56053761011972,6.640049695053083
Medium Risk,20003,0.3269979163194162,0.2652602109683547,3.0,12.580412938059292,6.954406838974154
High Risk,64055,0.6348030831304248,0.5994223713995784,5.0,18.606307079853252,7.785153383810788
